"evidence_layer","testbench","result","checker","boundary"
"ORIGINAL_STIMULUS_RERUN","fulladd_tb","STIMULUS_COMPLETE","none","original source + original stimulus"
"ORIGINAL_STIMULUS_RERUN","add_4bits_tb","STIMULUS_COMPLETE","none","original source + original stimulus"
"ORIGINAL_STIMULUS_RERUN","mealy_tb","STIMULUS_COMPLETE","none","original source + original stimulus"
"ORIGINAL_STIMULUS_RERUN","mux_8to1_tb","STIMULUS_COMPLETE","none","original stimulus + recovered mux + reconstructed missing decoder dependency"
"SELF_CHECKING_REGRESSION","tb_fulladd","PASS","assertions","Recovered originals where available; three explicitly reconstructed dependencies/designs"
"SELF_CHECKING_REGRESSION","tb_add_4bits","PASS","assertions","Recovered originals where available; three explicitly reconstructed dependencies/designs"
"SELF_CHECKING_REGRESSION","tb_dec_3to8","PASS","assertions","Recovered originals where available; three explicitly reconstructed dependencies/designs"
"SELF_CHECKING_REGRESSION","tb_mux_8to1","PASS","assertions","Recovered originals where available; three explicitly reconstructed dependencies/designs"
"SELF_CHECKING_REGRESSION","tb_mux_8to1_4bits","PASS","assertions","Recovered originals where available; three explicitly reconstructed dependencies/designs"
"SELF_CHECKING_REGRESSION","tb_mealy_101","PASS","assertions","Recovered originals where available; three explicitly reconstructed dependencies/designs"
"SELF_CHECKING_REGRESSION","tb_usr_4bit","PASS","assertions","Recovered originals where available; three explicitly reconstructed dependencies/designs"
