source_id,subject,relative_path,parser,status,units,unit_count,text_chars,formula_count,table_count,embedded_visual_count,notes
SRC-0085,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 133338.png,Pillow,parsed,pixels,304780,,,,1,622x490; mode=RGBA
SRC-0086,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 133510.png,Pillow,parsed,pixels,256944,,,,1,1212x212; mode=RGBA
SRC-0087,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 135049.png,Pillow,parsed,pixels,441688,,,,1,806x548; mode=RGBA
SRC-0088,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 135152.png,Pillow,parsed,pixels,417792,,,,1,768x544; mode=RGBA
SRC-0089,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 135358.png,Pillow,parsed,pixels,184434,,,,1,521x354; mode=RGBA
SRC-0090,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 135602.png,Pillow,parsed,pixels,427025,,,,1,775x551; mode=RGBA
SRC-0091,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 135937.png,Pillow,parsed,pixels,422730,,,,1,770x549; mode=RGBA
SRC-0092,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 140037.png,Pillow,parsed,pixels,793686,,,,1,1074x739; mode=RGBA
SRC-0093,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 140114.png,Pillow,parsed,pixels,244392,,,,1,408x599; mode=RGBA
SRC-0094,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 143646.png,Pillow,parsed,pixels,357075,,,,1,621x575; mode=RGBA
SRC-0095,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 144610.png,Pillow,parsed,pixels,376660,,,,1,509x740; mode=RGBA
SRC-0096,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 144626.png,Pillow,parsed,pixels,321024,,,,1,608x528; mode=RGBA
SRC-0097,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 144634.png,Pillow,parsed,pixels,313020,,,,1,470x666; mode=RGBA
SRC-0098,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 144743.png,Pillow,parsed,pixels,195826,,,,1,358x547; mode=RGBA
SRC-0099,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 154838.png,Pillow,parsed,pixels,162900,,,,1,543x300; mode=RGBA
SRC-0100,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 154930.png,Pillow,parsed,pixels,92880,,,,1,688x135; mode=RGBA
SRC-0101,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 154945.png,Pillow,parsed,pixels,184080,,,,1,708x260; mode=RGBA
SRC-0102,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 155733.png,Pillow,parsed,pixels,464145,,,,1,485x957; mode=RGBA
SRC-0103,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 155838.png,Pillow,parsed,pixels,449344,,,,1,472x952; mode=RGBA
SRC-0104,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 160721.png,Pillow,parsed,pixels,425923,,,,1,773x551; mode=RGBA
SRC-0105,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 160735.png,Pillow,parsed,pixels,262200,,,,1,475x552; mode=RGBA
SRC-0106,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 161506.png,Pillow,parsed,pixels,970629,,,,1,1317x737; mode=RGBA
SRC-0107,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 161542.png,Pillow,parsed,pixels,778488,,,,1,978x796; mode=RGBA
SRC-0108,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 161635.png,Pillow,parsed,pixels,769590,,,,1,1006x765; mode=RGBA
SRC-0109,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 163927.png,Pillow,parsed,pixels,557460,,,,1,684x815; mode=RGBA
